ticker,company,agenda_category,our_decision,majority_decision,majority_strength,alignment,status
010140,삼성중공업,audit_committee_election,FOR,FOR,12/18,follows_consensus,exact
010140,삼성중공업,director_compensation,FOR,FOR,9/13,follows_consensus,exact
035720,카카오,cash_dividend,FOR,FOR,8/9,follows_consensus,exact
035720,카카오,articles_amendment,FOR,FOR,50/50,follows_consensus,exact
035720,카카오,other,FOR,FOR,7/8,follows_consensus,exact
035720,카카오,director_election,FOR,FOR,43/44,follows_consensus,exact
051910,LG화학,financial_statements,FOR,FOR,7/8,follows_consensus,exact
051910,LG화학,articles_amendment,FOR,FOR,61/65,follows_consensus,exact
051910,LG화학,director_election,FOR,FOR,35/37,follows_consensus,exact
051910,LG화학,audit_committee_election,FOR,FOR,25/25,follows_consensus,exact
267250,HD현대,financial_statements,FOR,FOR,6/6,follows_consensus,exact
267250,HD현대,director_election,FOR,FOR,11/11,follows_consensus,exact
267250,HD현대,director_compensation,FOR,FOR,10/11,follows_consensus,exact
011200,HMM,financial_statements,FOR,FOR,2/2,follows_consensus,exact
011200,HMM,director_election,FOR,FOR,21/23,follows_consensus,exact
011200,HMM,director_compensation,FOR,FOR,11/11,follows_consensus,exact
011200,HMM,other,FOR,FOR,11/11,follows_consensus,exact
024110,기업은행,financial_statements,FOR,FOR,3/3,follows_consensus,exact
024110,기업은행,articles_amendment,FOR,FOR,6/6,follows_consensus,exact
024110,기업은행,director_compensation,FOR,FOR,14/14,follows_consensus,exact
064350,현대로템,financial_statements,FOR,FOR,4/6,follows_consensus,exact
064350,현대로템,director_election,FOR,FOR,23/24,follows_consensus,exact
064350,현대로템,audit_committee_election,FOR,FOR,8/9,follows_consensus,exact
064350,현대로템,director_compensation,FOR,FOR,12/12,follows_consensus,exact
066570,LG전자,cash_dividend,FOR,FOR,10/10,follows_consensus,exact
066570,LG전자,articles_amendment,FOR,FOR,34/34,follows_consensus,exact
066570,LG전자,director_election,FOR,FOR,29/29,follows_consensus,exact
066570,LG전자,audit_committee_election,FOR,FOR,19/19,follows_consensus,exact
096770,SK이노베이션,financial_statements,FOR,FOR,7/7,follows_consensus,exact
096770,SK이노베이션,director_election,FOR,FOR,40/44,follows_consensus,exact
096770,SK이노베이션,audit_committee_election,FOR,FOR,22/22,follows_consensus,exact
096770,SK이노베이션,director_compensation,FOR,FOR,17/17,follows_consensus,exact
033780,KT&G,financial_statements,FOR,FOR,2/2,follows_consensus,exact
033780,KT&G,articles_amendment,FOR,FOR,26/26,follows_consensus,exact
033780,KT&G,other,FOR,,,no_data,exact
033780,KT&G,audit_committee_election,FOR,FOR,7/8,follows_consensus,exact
033780,KT&G,director_election,FOR,FOR,10/12,follows_consensus,exact
033780,KT&G,cash_dividend,FOR,FOR,3/3,follows_consensus,exact
000150,두산,cash_dividend,FOR,FOR,5/5,follows_consensus,exact
000150,두산,director_election,FOR,FOR,15/16,follows_consensus,exact
000150,두산,audit_committee_election,FOR,FOR,14/15,follows_consensus,exact
000150,두산,director_compensation,FOR,AGAINST,6/11,weak_consensus_aligned,exact
138040,메리츠금융지주,cash_dividend,FOR,FOR,8/8,follows_consensus,exact
138040,메리츠금융지주,articles_amendment,FOR,FOR,13/13,follows_consensus,exact
138040,메리츠금융지주,director_election,FOR,FOR,23/25,follows_consensus,exact
138040,메리츠금융지주,director_compensation,FOR,FOR,12/13,follows_consensus,exact
003670,포스코퓨처엠,financial_statements,FOR,FOR,5/5,follows_consensus,exact
003670,포스코퓨처엠,director_election,FOR,FOR,56/58,follows_consensus,exact
003670,포스코퓨처엠,audit_committee_election,FOR,FOR,15/20,follows_consensus,exact
003670,포스코퓨처엠,director_compensation,FOR,FOR,12/12,follows_consensus,exact
047810,한국항공우주,financial_statements,FOR,FOR,4/4,follows_consensus,exact
047810,한국항공우주,director_election,FOR,FOR,12/18,follows_consensus,exact
047810,한국항공우주,audit_committee_election,FOR,AGAINST,8/15,weak_consensus_aligned,exact
047810,한국항공우주,director_compensation,FOR,FOR,9/9,follows_consensus,exact
000720,현대건설,financial_statements,FOR,FOR,5/5,follows_consensus,exact
000720,현대건설,articles_amendment,FOR,FOR,28/28,follows_consensus,exact
000720,현대건설,director_election,FOR,FOR,37/37,follows_consensus,exact
000720,현대건설,audit_committee_election,REVIEW,FOR,17/17,unique,exact
000720,현대건설,director_compensation,FOR,FOR,13/13,follows_consensus,exact
017670,SK텔레콤,financial_statements,FOR,FOR,6/6,follows_consensus,exact
017670,SK텔레콤,articles_amendment,FOR,FOR,13/13,follows_consensus,exact
017670,SK텔레콤,director_election,FOR,FOR,39/41,follows_consensus,exact
017670,SK텔레콤,director_compensation,FOR,FOR,15/16,follows_consensus,exact
086280,현대글로비스,financial_statements,FOR,FOR,7/7,follows_consensus,exact
086280,현대글로비스,director_election,FOR,FOR,41/44,follows_consensus,exact
086280,현대글로비스,cash_dividend,FOR,FOR,10/10,follows_consensus,exact
030200,KT,financial_statements,FOR,FOR,2/2,follows_consensus,exact
030200,KT,articles_amendment,FOR,FOR,28/28,follows_consensus,exact
030200,KT,director_election,FOR,FOR,22/23,follows_consensus,exact
030200,KT,audit_committee_election,FOR,FOR,13/14,follows_consensus,exact
030200,KT,director_compensation,FOR,FOR,5/5,follows_consensus,exact
003550,LG,cash_dividend,FOR,FOR,10/10,follows_consensus,exact
003550,LG,articles_amendment,FOR,FOR,46/46,follows_consensus,exact
003550,LG,treasury_share,FOR,FOR,6/6,follows_consensus,exact
003550,LG,director_election,FOR,FOR,29/29,follows_consensus,exact
003550,LG,director_compensation,FOR,FOR,15/17,follows_consensus,exact
047050,포스코인터내셔널,financial_statements,FOR,FOR,5/5,follows_consensus,exact
047050,포스코인터내셔널,articles_amendment,FOR,FOR,15/15,follows_consensus,exact
047050,포스코인터내셔널,director_election,FOR,FOR,52/54,follows_consensus,exact
047050,포스코인터내셔널,audit_committee_election,FOR,FOR,12/12,follows_consensus,exact
079550,LIG넥스원,financial_statements,FOR,,,no_data,exact
079550,LIG넥스원,articles_amendment,FOR,,,no_data,exact
079550,LIG넥스원,director_election,FOR,,,no_data,exact
079550,LIG넥스원,audit_committee_election,REVIEW,,,no_data,exact
352820,하이브,financial_statements,FOR,FOR,7/7,follows_consensus,exact
352820,하이브,director_election,FOR,FOR,38/44,follows_consensus,exact
352820,하이브,audit_committee_election,FOR,FOR,18/19,follows_consensus,exact
352820,하이브,director_compensation,FOR,FOR,23/30,follows_consensus,exact
005830,DB손해보험,financial_statements,FOR,FOR,5/5,follows_consensus,exact
005830,DB손해보험,articles_amendment,FOR,FOR,34/34,follows_consensus,exact
005830,DB손해보험,director_election,FOR,FOR,52/56,follows_consensus,exact
005830,DB손해보험,audit_committee_election,FOR,FOR,31/41,follows_consensus,exact
005830,DB손해보험,director_compensation,FOR,FOR,11/11,follows_consensus,exact
010950,S-Oil,financial_statements,FOR,FOR,4/4,follows_consensus,exact
010950,S-Oil,director_election,FOR,FOR,28/30,follows_consensus,exact
010950,S-Oil,director_compensation,FOR,FOR,5/7,follows_consensus,exact
005940,NH투자증권,financial_statements,FOR,FOR,5/5,follows_consensus,exact
005940,NH투자증권,articles_amendment,FOR,FOR,17/19,follows_consensus,exact
005940,NH투자증권,director_election,FOR,FOR,39/39,follows_consensus,exact
005940,NH투자증권,director_compensation,FOR,FOR,8/8,follows_consensus,exact
278470,에이피알,financial_statements,FOR,FOR,2/2,follows_consensus,exact
278470,에이피알,articles_amendment,FOR,FOR,42/42,follows_consensus,exact
278470,에이피알,director_compensation,FOR,FOR,10/10,follows_consensus,exact
071050,한국금융지주,articles_amendment,FOR,FOR,18/18,follows_consensus,exact
071050,한국금융지주,other,FOR,FOR,5/5,follows_consensus,exact
071050,한국금융지주,director_election,FOR,FOR,61/65,follows_consensus,exact
071050,한국금융지주,audit_committee_election,FOR,FOR,31/37,follows_consensus,exact
018260,삼성에스디에스,financial_statements,FOR,FOR,5/7,follows_consensus,exact
018260,삼성에스디에스,director_election,FOR,FOR,27/35,follows_consensus,exact
018260,삼성에스디에스,articles_amendment,FOR,FOR,11/20,follows_consensus,exact
018260,삼성에스디에스,director_compensation,FOR,FOR,12/15,follows_consensus,exact
323410,카카오뱅크,financial_statements,FOR,FOR,2/2,follows_consensus,exact
323410,카카오뱅크,articles_amendment,FOR,FOR,24/24,follows_consensus,exact
323410,카카오뱅크,director_election,FOR,FOR,22/24,follows_consensus,exact
323410,카카오뱅크,other,FOR,FOR,7/7,follows_consensus,exact
307950,현대오토에버,cash_dividend,FOR,FOR,7/7,follows_consensus,exact
307950,현대오토에버,financial_statements,FOR,FOR,5/5,follows_consensus,exact
307950,현대오토에버,director_election,AGAINST,FOR,18/18,unique,exact
039490,키움증권,financial_statements,FOR,FOR,5/6,follows_consensus,exact
039490,키움증권,articles_amendment,FOR,FOR,42/45,follows_consensus,exact
039490,키움증권,other,FOR,,,no_data,exact
039490,키움증권,director_election,FOR,FOR,44/46,follows_consensus,exact
259960,크래프톤,financial_statements,FOR,AGAINST,3/6,weak_consensus_aligned,exact
259960,크래프톤,director_compensation,FOR,FOR,11/15,follows_consensus,exact
259960,크래프톤,articles_amendment,FOR,FOR,19/27,follows_consensus,exact
259960,크래프톤,audit_committee_election,FOR,FOR,23/25,follows_consensus,exact
003490,대한항공,financial_statements,FOR,FOR,5/5,follows_consensus,exact
003490,대한항공,articles_amendment,FOR,FOR,28/28,follows_consensus,exact
003490,대한항공,director_election,AGAINST,FOR,25/28,aligns_with_outlier,exact
003490,대한항공,director_compensation,FOR,FOR,10/12,follows_consensus,exact
007660,이수페타시스,cash_dividend,FOR,FOR,4/4,follows_consensus,exact
007660,이수페타시스,director_election,FOR,FOR,11/19,follows_consensus,exact
007660,이수페타시스,other,FOR,FOR,1/1,follows_consensus,exact
007660,이수페타시스,director_compensation,FOR,FOR,19/20,follows_consensus,exact
006260,LS,financial_statements,FOR,FOR,6/6,follows_consensus,exact
006260,LS,director_election,FOR,FOR,15/18,follows_consensus,exact
006260,LS,director_compensation,FOR,FOR,6/10,follows_consensus,exact
003230,삼양식품,financial_statements,FOR,AGAINST,2/4,weak_consensus_aligned,exact
003230,삼양식품,director_election,FOR,FOR,15/15,follows_consensus,exact
003230,삼양식품,director_compensation,FOR,FOR,9/10,follows_consensus,exact
090430,아모레퍼시픽,financial_statements,FOR,FOR,4/5,follows_consensus,exact
090430,아모레퍼시픽,director_election,FOR,FOR,28/29,follows_consensus,exact
090430,아모레퍼시픽,audit_committee_election,FOR,FOR,12/13,follows_consensus,exact
090430,아모레퍼시픽,director_compensation,FOR,FOR,10/10,follows_consensus,exact
016360,삼성증권,cash_dividend,FOR,FOR,9/12,follows_consensus,exact
016360,삼성증권,articles_amendment,FOR,FOR,24/30,follows_consensus,exact
016360,삼성증권,director_election,FOR,FOR,32/40,follows_consensus,exact
016360,삼성증권,audit_committee_election,FOR,FOR,16/20,follows_consensus,exact
180640,한진칼,financial_statements,FOR,FOR,4/4,follows_consensus,exact
180640,한진칼,director_election,FOR,FOR,19/21,follows_consensus,exact
180640,한진칼,articles_amendment,FOR,FOR,31/33,follows_consensus,exact
180640,한진칼,cash_dividend,FOR,FOR,5/5,follows_consensus,exact
180640,한진칼,other,FOR,,,no_data,exact
377300,카카오페이,financial_statements,FOR,FOR,4/4,follows_consensus,exact
377300,카카오페이,articles_amendment,FOR,FOR,36/37,follows_consensus,exact
377300,카카오페이,director_election,FOR,FOR,16/22,follows_consensus,exact
377300,카카오페이,audit_committee_election,FOR,FOR,11/15,follows_consensus,exact
377300,카카오페이,director_compensation,FOR,FOR,9/12,follows_consensus,exact
000880,한화,financial_statements,FOR,FOR,2/2,follows_consensus,exact
000880,한화,articles_amendment,FOR,FOR,25/26,follows_consensus,exact
000880,한화,cash_dividend,FOR,FOR,4/4,follows_consensus,exact
000880,한화,other,FOR,,,no_data,exact
000880,한화,director_election,FOR,FOR,20/21,follows_consensus,exact
000880,한화,director_compensation,FOR,FOR,4/6,follows_consensus,exact
009830,한화솔루션,financial_statements,FOR,FOR,5/5,follows_consensus,exact
009830,한화솔루션,articles_amendment,FOR,FOR,26/30,follows_consensus,exact
009830,한화솔루션,other,FOR,,,no_data,exact
009830,한화솔루션,cash_dividend,REVIEW,FOR,4/4,unique,exact
009830,한화솔루션,director_election,FOR,FOR,37/37,follows_consensus,exact
443060,HD현대마린솔루션,financial_statements,FOR,FOR,2/2,follows_consensus,exact
443060,HD현대마린솔루션,articles_amendment,FOR,FOR,3/3,follows_consensus,exact
443060,HD현대마린솔루션,director_election,FOR,FOR,7/7,follows_consensus,exact
443060,HD현대마린솔루션,audit_committee_election,FOR,FOR,5/6,follows_consensus,exact
443060,HD현대마린솔루션,director_compensation,FOR,FOR,3/3,follows_consensus,exact
000100,유한양행,cash_dividend,FOR,FOR,8/8,follows_consensus,exact
000100,유한양행,articles_amendment,FOR,FOR,60/75,follows_consensus,exact
000100,유한양행,director_compensation,FOR,FOR,16/16,follows_consensus,exact
326030,SK바이오팜,financial_statements,FOR,FOR,2/2,follows_consensus,exact
326030,SK바이오팜,director_election,FOR,FOR,5/5,follows_consensus,exact
326030,SK바이오팜,audit_committee_election,FOR,FOR,4/4,follows_consensus,exact
326030,SK바이오팜,director_compensation,FOR,FOR,4/4,follows_consensus,exact
161390,한국타이어앤테크놀로지,financial_statements,FOR,FOR,5/5,follows_consensus,exact
161390,한국타이어앤테크놀로지,articles_amendment,FOR,FOR,42/46,follows_consensus,exact
161390,한국타이어앤테크놀로지,other,FOR,,,no_data,exact
161390,한국타이어앤테크놀로지,cash_dividend,FOR,FOR,8/8,follows_consensus,exact
161390,한국타이어앤테크놀로지,director_election,FOR,FOR,36/47,follows_consensus,exact
161390,한국타이어앤테크놀로지,director_compensation,FOR,FOR,11/13,follows_consensus,exact
047040,대우건설,financial_statements,FOR,FOR,2/3,follows_consensus,exact
047040,대우건설,director_election,FOR,FOR,4/4,follows_consensus,exact
047040,대우건설,audit_committee_election,REVIEW,FOR,4/4,unique,exact
047040,대우건설,director_compensation,FOR,FOR,4/5,follows_consensus,exact
028050,삼성E&A,financial_statements,FOR,ABSTAIN,2/3,aligns_with_outlier,exact
028050,삼성E&A,director_election,FOR,ABSTAIN,5/9,weak_consensus_aligned,exact
028050,삼성E&A,audit_committee_election,FOR,ABSTAIN,4/7,weak_consensus_aligned,exact
028050,삼성E&A,director_compensation,FOR,ABSTAIN,3/5,weak_consensus_aligned,exact
028050,삼성E&A,articles_amendment,FOR,ABSTAIN,5/8,weak_consensus_aligned,exact
011070,LG이노텍,cash_dividend,FOR,FOR,6/6,follows_consensus,exact
011070,LG이노텍,director_election,FOR,FOR,19/19,follows_consensus,exact
011070,LG이노텍,audit_committee_election,FOR,FOR,8/8,follows_consensus,exact
011070,LG이노텍,director_compensation,FOR,FOR,7/7,follows_consensus,exact
029780,삼성카드,cash_dividend,FOR,FOR,5/8,follows_consensus,exact
029780,삼성카드,articles_amendment,FOR,FOR,13/21,follows_consensus,exact
029780,삼성카드,director_election,FOR,FOR,14/21,follows_consensus,exact
029780,삼성카드,other,FOR,,,no_data,exact
128940,한미약품,financial_statements,FOR,FOR,4/7,follows_consensus,exact
128940,한미약품,articles_amendment,FOR,FOR,33/33,follows_consensus,exact
128940,한미약품,director_election,FOR,FOR,35/38,follows_consensus,exact
128940,한미약품,director_compensation,FOR,FOR,12/12,follows_consensus,exact
